temporada,pos,equipo_id,equipo_nombre,PJ,PG,PE,PP,GF,GC,DG,Pnt
6,1,206,🏴‍☠𝓒𝓔𝓡𝓑𝓔𝓡𝓤𝓢,26,20,1,5,146,91,55,61
6,2,2495,💾VCF1919🍀,26,16,3,7,108,65,43,51
6,3,82,#HC👾🌀Trompellots 🍀,26,16,2,8,95,70,25,50
6,4,2380,Coras de Nayarit CF,26,15,1,10,96,96,0,46
6,5,268,Fast House,26,13,3,10,112,92,20,42
6,6,351,💾vendo cuenta,26,13,2,11,93,76,17,41
6,7,365,₠ MANCHA,26,11,4,11,97,99,-2,37
6,8,20,🐺​Lone Wolf🐺​,26,11,3,12,85,93,-8,36
6,9,179,U3★Guts Rage🍀,26,10,5,11,92,87,5,35
6,10,443,FC Ubuntu™,26,9,7,10,85,101,-16,34
6,11,707,₠ HIELO FRESCO,26,10,1,15,88,103,-15,31
6,12,126,WYDAD,26,8,6,12,74,90,-16,30
6,13,294,🔞Fuego Valirio FC,26,6,3,17,75,102,-27,21
6,14,11,Only good curves,26,2,3,21,40,121,-81,9
7,1,268,Fast House,26,23,1,2,200,79,121,70
7,2,365,₠ MANCHA,26,16,3,7,155,93,62,51
7,3,2380,Coras de Nayarit CF,26,16,1,9,146,91,55,49
7,4,1988,💾Cartel del Golfo,26,15,3,8,128,68,60,48
7,5,2495,💾VCF1919🍀,26,14,6,6,109,66,43,48
7,6,206,🏴‍☠𝓒𝓔𝓡𝓑𝓔𝓡𝓤𝓢,26,14,3,9,124,105,19,45
7,7,179,U3★Guts Rage🍀,26,12,4,10,137,112,25,40
7,8,351,💾vendo cuenta,26,12,3,11,130,97,33,39
7,9,20,🐺​Lone Wolf🐺​,26,12,3,11,100,92,8,39
7,10,443,FC Ubuntu™,26,12,2,12,118,107,11,38
7,11,82,#HC👾🌀Trompellots 🍀,26,10,1,15,69,87,-18,31
7,12,1479,₠ Amaretto FC,26,8,2,16,85,117,-32,26
7,13,454,DOYSH FC,26,1,0,25,30,189,-159,3
7,14,512,₠ Tenerife RCF 🍀,26,1,0,25,31,259,-228,3
8,1,126,WYDAD,26,18,3,5,183,81,102,57
8,2,2495,💾VCF1919🍀,26,18,3,5,154,86,68,57
8,3,351,💾vendo cuenta,26,18,0,8,182,80,102,54
8,4,1988,💾Cartel del Golfo,26,16,3,7,121,74,47,51
8,5,229,#HC Tavernes 🍀 c.f,26,15,1,10,154,91,63,46
8,6,443,FC Ubuntu™,26,14,3,9,147,108,39,45
8,7,20,🐺​Lone Wolf🐺​,26,13,3,10,114,78,36,42
8,8,2380,Coras de Nayarit CF,26,12,4,10,143,101,42,40
8,9,268,Fast House,26,10,2,14,143,119,24,32
8,10,206,🏴‍☠𝓒𝓔𝓡𝓑𝓔𝓡𝓤𝓢,26,9,2,15,119,137,-18,29
8,11,2686,🏴‍☠️ Mencal CF,26,8,4,14,110,112,-2,28
8,12,179,U3★Guts Rage🍀,26,9,0,17,122,136,-14,27
8,13,365,₠ MANCHA,26,7,2,17,128,136,-8,23
8,14,2891,Cartagena united,26,0,0,26,0,481,-481,0
9,1,268,Fast House,26,21,0,5,170,90,80,63
9,2,2495,💾VCF1919🍀,26,20,1,5,153,89,64,61
9,3,351,💾vendo cuenta,26,18,3,5,166,90,76,57
9,4,126,WYDAD,26,17,3,6,169,91,78,54
9,5,707,₠ HIELO FRESCO,26,16,1,9,149,125,24,49
9,6,443,FC Ubuntu™,26,15,1,10,134,120,14,46
9,7,229,#HC Tavernes 🍀 c.f,26,14,2,10,129,96,33,44
9,8,4443,₠ Wehee´s Team 🍀,26,14,0,12,126,125,1,42
9,9,20,🐺​Lone Wolf🐺​,26,12,3,11,102,102,0,39
9,10,295,₠Nàstic de Tarragona,26,6,3,17,79,143,-64,21
9,11,206,🏴‍☠𝓒𝓔𝓡𝓑𝓔𝓡𝓤𝓢,26,6,2,18,100,165,-65,20
9,12,1988,💾Cartel del Golfo,26,5,2,19,73,159,-86,17
9,13,294,🔞Fuego Valirio FC,26,3,4,19,62,132,-70,13
9,14,522,Yanited FC,26,1,3,22,78,163,-85,6
